,Country,Anxiety Disorder Rate,Suicide Rate,Region
147,Tajikistan,2.43,84.50999999999999,Europe
148,Thailand,3.96,95.18,South-East Asia
149,Togo,3.45,424.03999999999996,Africa
150,Tonga,4.11,64.77000000000001,Western Pacific
151,Trinidad and Tobago,4.35,85.63,Americas
152,Tunisia,5.58,43.489999999999995,Eastern Mediterranean
153,Turkmenistan,2.46,78.27,Europe
154,Uganda,3.51,316.51,Africa
155,Ukraine,3.65,235.74,Europe
156,United Arab Emirates,4.64,68.46000000000001,Eastern Mediterranean
157,Uruguay,5.71,232.51,Americas
158,Uzbekistan,2.11,85.91,Europe
159,Vanuatu,3.92,318.14,Western Pacific
160,Yemen,4.79,81.41,Eastern Mediterranean
161,Zambia,3.6,343.85,Africa
162,Zimbabwe,3.07,486.99,Africa
