Time frequency,Information society indicator,Unit of measure,Geopolitical entity (reporting),Time,Value
Annual,Last internet use: in last 3 months,Percentage of individuals,Greece,2015,96.35
Annual,Last internet use: in last 3 months,Percentage of individuals,Greece,2016,96.79
Annual,Last internet use: in last 3 months,Percentage of individuals,Greece,2017,96.72
Annual,Last internet use: in last 3 months,Percentage of individuals,Greece,2018,97.58
Annual,Last internet use: in last 3 months,Percentage of individuals,Greece,2019,98.82
Annual,Last internet use: in last 3 months,Percentage of individuals,Greece,2020,98.85
Annual,Last internet use: in last 3 months,Percentage of individuals,Greece,2021,98.93
Annual,Last internet use: in last 3 months,Percentage of individuals,Greece,2022,99.44
Annual,Last internet use: in last 3 months,Percentage of individuals,Spain,2002,38.19
Annual,Last internet use: in last 3 months,Percentage of individuals,Spain,2003,67.53
Annual,Last internet use: in last 3 months,Percentage of individuals,Spain,2004,75.49
Annual,Last internet use: in last 3 months,Percentage of individuals,Spain,2005,79.68
Annual,Last internet use: in last 3 months,Percentage of individuals,Spain,2006,81.26
Annual,Last internet use: in last 3 months,Percentage of individuals,Spain,2007,85.23
Annual,Last internet use: in last 3 months,Percentage of individuals,Spain,2008,89.44
Annual,Last internet use: in last 3 months,Percentage of individuals,Spain,2009,91.53
Annual,Last internet use: in last 3 months,Percentage of individuals,Spain,2010,93.34
Annual,Last internet use: in last 3 months,Percentage of individuals,Spain,2011,94.59
Annual,Last internet use: in last 3 months,Percentage of individuals,Spain,2012,95.84
Annual,Last internet use: in last 3 months,Percentage of individuals,Spain,2013,97.41
Annual,Last internet use: in last 3 months,Percentage of individuals,Spain,2014,98.35
Annual,Last internet use: in last 3 months,Percentage of individuals,Spain,2015,98.55
Annual,Last internet use: in last 3 months,Percentage of individuals,Spain,2016,98.39
Annual,Last internet use: in last 3 months,Percentage of individuals,Spain,2017,97.99
Annual,Last internet use: in last 3 months,Percentage of individuals,Spain,2018,98.51
Annual,Last internet use: in last 3 months,Percentage of individuals,Spain,2019,99.12
Annual,Last internet use: in last 3 months,Percentage of individuals,Spain,2020,99.75
Annual,Last internet use: in last 3 months,Percentage of individuals,Spain,2021,99.66
Annual,Last internet use: in last 3 months,Percentage of individuals,Spain,2022,99.78
Annual,Last internet use: in last 3 months,Percentage of individuals,France,2002,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,France,2003,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,France,2004,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,France,2005,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,France,2006,83.97
Annual,Last internet use: in last 3 months,Percentage of individuals,France,2007,88.7
Annual,Last internet use: in last 3 months,Percentage of individuals,France,2008,94.74
Annual,Last internet use: in last 3 months,Percentage of individuals,France,2009,97.3
Annual,Last internet use: in last 3 months,Percentage of individuals,France,2010,97.74
Annual,Last internet use: in last 3 months,Percentage of individuals,France,2011,89.71
Annual,Last internet use: in last 3 months,Percentage of individuals,France,2012,98.4
Annual,Last internet use: in last 3 months,Percentage of individuals,France,2013,97.06
Annual,Last internet use: in last 3 months,Percentage of individuals,France,2014,97.59
Annual,Last internet use: in last 3 months,Percentage of individuals,France,2015,97.79
Annual,Last internet use: in last 3 months,Percentage of individuals,France,2016,97.04
Annual,Last internet use: in last 3 months,Percentage of individuals,France,2017,97.47
Annual,Last internet use: in last 3 months,Percentage of individuals,France,2018,97.14
Annual,Last internet use: in last 3 months,Percentage of individuals,France,2019,96.59
Annual,Last internet use: in last 3 months,Percentage of individuals,France,2020,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,France,2021,97.8
Annual,Last internet use: in last 3 months,Percentage of individuals,France,2022,98.99
Annual,Last internet use: in last 3 months,Percentage of individuals,Croatia,2002,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Croatia,2003,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Croatia,2004,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Croatia,2005,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Croatia,2006,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Croatia,2007,73.31
Annual,Last internet use: in last 3 months,Percentage of individuals,Croatia,2008,84.98
Annual,Last internet use: in last 3 months,Percentage of individuals,Croatia,2009,83.24
Annual,Last internet use: in last 3 months,Percentage of individuals,Croatia,2010,91.75
Annual,Last internet use: in last 3 months,Percentage of individuals,Croatia,2011,93.13
Annual,Last internet use: in last 3 months,Percentage of individuals,Croatia,2012,98.43
Annual,Last internet use: in last 3 months,Percentage of individuals,Croatia,2013,97.07
Annual,Last internet use: in last 3 months,Percentage of individuals,Croatia,2014,94.69
Annual,Last internet use: in last 3 months,Percentage of individuals,Croatia,2015,98.48
Annual,Last internet use: in last 3 months,Percentage of individuals,Croatia,2016,99.01
Annual,Last internet use: in last 3 months,Percentage of individuals,Croatia,2017,98.44
Annual,Last internet use: in last 3 months,Percentage of individuals,Croatia,2018,99.83
Annual,Last internet use: in last 3 months,Percentage of individuals,Croatia,2019,99.21
Annual,Last internet use: in last 3 months,Percentage of individuals,Croatia,2020,100
Annual,Last internet use: in last 3 months,Percentage of individuals,Croatia,2021,100
Annual,Last internet use: in last 3 months,Percentage of individuals,Croatia,2022,98.36
Annual,Last internet use: in last 3 months,Percentage of individuals,Italy,2002,52.1
Annual,Last internet use: in last 3 months,Percentage of individuals,Italy,2003,45.56
Annual,Last internet use: in last 3 months,Percentage of individuals,Italy,2004,57.95
Annual,Last internet use: in last 3 months,Percentage of individuals,Italy,2005,61.73
Annual,Last internet use: in last 3 months,Percentage of individuals,Italy,2006,65.02
Annual,Last internet use: in last 3 months,Percentage of individuals,Italy,2007,66.25
Annual,Last internet use: in last 3 months,Percentage of individuals,Italy,2008,70.06
Annual,Last internet use: in last 3 months,Percentage of individuals,Italy,2009,76.38
Annual,Last internet use: in last 3 months,Percentage of individuals,Italy,2010,81.56
Annual,Last internet use: in last 3 months,Percentage of individuals,Italy,2011,84.14
Annual,Last internet use: in last 3 months,Percentage of individuals,Italy,2012,84.48
Annual,Last internet use: in last 3 months,Percentage of individuals,Italy,2013,85.4
Annual,Last internet use: in last 3 months,Percentage of individuals,Italy,2014,88.34
Annual,Last internet use: in last 3 months,Percentage of individuals,Italy,2015,89.35
Annual,Last internet use: in last 3 months,Percentage of individuals,Italy,2016,90.25
Annual,Last internet use: in last 3 months,Percentage of individuals,Italy,2017,91.1
Annual,Last internet use: in last 3 months,Percentage of individuals,Italy,2018,92.12
Annual,Last internet use: in last 3 months,Percentage of individuals,Italy,2019,91.97
Annual,Last internet use: in last 3 months,Percentage of individuals,Italy,2020,93.1
Annual,Last internet use: in last 3 months,Percentage of individuals,Italy,2021,95
Annual,Last internet use: in last 3 months,Percentage of individuals,Italy,2022,96.56
Annual,Last internet use: in last 3 months,Percentage of individuals,Cyprus,2002,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Cyprus,2003,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Cyprus,2004,63.59
Annual,Last internet use: in last 3 months,Percentage of individuals,Cyprus,2005,58.29
Annual,Last internet use: in last 3 months,Percentage of individuals,Cyprus,2006,62.12
Annual,Last internet use: in last 3 months,Percentage of individuals,Cyprus,2007,64.67
Annual,Last internet use: in last 3 months,Percentage of individuals,Cyprus,2008,70.99
Annual,Last internet use: in last 3 months,Percentage of individuals,Cyprus,2009,85.56
Annual,Last internet use: in last 3 months,Percentage of individuals,Cyprus,2010,90.31
Annual,Last internet use: in last 3 months,Percentage of individuals,Cyprus,2011,94.09
Annual,Last internet use: in last 3 months,Percentage of individuals,Cyprus,2012,91.55
Annual,Last internet use: in last 3 months,Percentage of individuals,Cyprus,2013,97.64
Annual,Last internet use: in last 3 months,Percentage of individuals,Cyprus,2014,97.8
Annual,Last internet use: in last 3 months,Percentage of individuals,Cyprus,2015,97.84
Annual,Last internet use: in last 3 months,Percentage of individuals,Cyprus,2016,99.14
Annual,Last internet use: in last 3 months,Percentage of individuals,Cyprus,2017,98.41
Annual,Last internet use: in last 3 months,Percentage of individuals,Cyprus,2018,99.28
Annual,Last internet use: in last 3 months,Percentage of individuals,Cyprus,2019,100
Annual,Last internet use: in last 3 months,Percentage of individuals,Cyprus,2020,99.63
Annual,Last internet use: in last 3 months,Percentage of individuals,Cyprus,2021,98.94
Annual,Last internet use: in last 3 months,Percentage of individuals,Cyprus,2022,98.81
Annual,Last internet use: in last 3 months,Percentage of individuals,Latvia,2002,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Latvia,2003,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Latvia,2004,68.53
Annual,Last internet use: in last 3 months,Percentage of individuals,Latvia,2005,83.68
Annual,Last internet use: in last 3 months,Percentage of individuals,Latvia,2006,91.2
Annual,Last internet use: in last 3 months,Percentage of individuals,Latvia,2007,94.31
Annual,Last internet use: in last 3 months,Percentage of individuals,Latvia,2008,95.69
Annual,Last internet use: in last 3 months,Percentage of individuals,Latvia,2009,96.15
Annual,Last internet use: in last 3 months,Percentage of individuals,Latvia,2010,96.46
Annual,Last internet use: in last 3 months,Percentage of individuals,Latvia,2011,98.63
Annual,Last internet use: in last 3 months,Percentage of individuals,Latvia,2012,98.12
Annual,Last internet use: in last 3 months,Percentage of individuals,Latvia,2013,98.85
Annual,Last internet use: in last 3 months,Percentage of individuals,Latvia,2014,98.78
Annual,Last internet use: in last 3 months,Percentage of individuals,Latvia,2015,98.09
Annual,Last internet use: in last 3 months,Percentage of individuals,Latvia,2016,99.29
Annual,Last internet use: in last 3 months,Percentage of individuals,Latvia,2017,98.88
Annual,Last internet use: in last 3 months,Percentage of individuals,Latvia,2018,98.75
Annual,Last internet use: in last 3 months,Percentage of individuals,Latvia,2019,99.77
Annual,Last internet use: in last 3 months,Percentage of individuals,Latvia,2020,97.89
Annual,Last internet use: in last 3 months,Percentage of individuals,Latvia,2021,99.24
Annual,Last internet use: in last 3 months,Percentage of individuals,Latvia,2022,99.58
Annual,Last internet use: in last 3 months,Percentage of individuals,Lithuania,2002,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Lithuania,2003,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Lithuania,2004,71.91
Annual,Last internet use: in last 3 months,Percentage of individuals,Lithuania,2005,73.65
Annual,Last internet use: in last 3 months,Percentage of individuals,Lithuania,2006,84.24
Annual,Last internet use: in last 3 months,Percentage of individuals,Lithuania,2007,89.76
Annual,Last internet use: in last 3 months,Percentage of individuals,Lithuania,2008,88.92
Annual,Last internet use: in last 3 months,Percentage of individuals,Lithuania,2009,94.14
Annual,Last internet use: in last 3 months,Percentage of individuals,Lithuania,2010,94.22
Annual,Last internet use: in last 3 months,Percentage of individuals,Lithuania,2011,96.41
Annual,Last internet use: in last 3 months,Percentage of individuals,Lithuania,2012,98.16
Annual,Last internet use: in last 3 months,Percentage of individuals,Lithuania,2013,97.73
Annual,Last internet use: in last 3 months,Percentage of individuals,Lithuania,2014,97.29
Annual,Last internet use: in last 3 months,Percentage of individuals,Lithuania,2015,97.04
Annual,Last internet use: in last 3 months,Percentage of individuals,Lithuania,2016,99.4
Annual,Last internet use: in last 3 months,Percentage of individuals,Lithuania,2017,97.96
Annual,Last internet use: in last 3 months,Percentage of individuals,Lithuania,2018,99.47
Annual,Last internet use: in last 3 months,Percentage of individuals,Lithuania,2019,98.57
Annual,Last internet use: in last 3 months,Percentage of individuals,Lithuania,2020,99.14
Annual,Last internet use: in last 3 months,Percentage of individuals,Lithuania,2021,100
Annual,Last internet use: in last 3 months,Percentage of individuals,Lithuania,2022,99.77
Annual,Last internet use: in last 3 months,Percentage of individuals,Luxembourg,2002,64.26
Annual,Last internet use: in last 3 months,Percentage of individuals,Luxembourg,2003,89.84
Annual,Last internet use: in last 3 months,Percentage of individuals,Luxembourg,2004,87.97
Annual,Last internet use: in last 3 months,Percentage of individuals,Luxembourg,2005,91.3
Annual,Last internet use: in last 3 months,Percentage of individuals,Luxembourg,2006,94.85
Annual,Last internet use: in last 3 months,Percentage of individuals,Luxembourg,2007,95.52
Annual,Last internet use: in last 3 months,Percentage of individuals,Luxembourg,2008,99.01
Annual,Last internet use: in last 3 months,Percentage of individuals,Luxembourg,2009,98.71
Annual,Last internet use: in last 3 months,Percentage of individuals,Luxembourg,2010,98.23
Annual,Last internet use: in last 3 months,Percentage of individuals,Luxembourg,2011,99.69
Annual,Last internet use: in last 3 months,Percentage of individuals,Luxembourg,2012,98.94
Annual,Last internet use: in last 3 months,Percentage of individuals,Luxembourg,2013,99.58
Annual,Last internet use: in last 3 months,Percentage of individuals,Luxembourg,2014,99.61
Annual,Last internet use: in last 3 months,Percentage of individuals,Luxembourg,2015,100
Annual,Last internet use: in last 3 months,Percentage of individuals,Luxembourg,2016,100
Annual,Last internet use: in last 3 months,Percentage of individuals,Luxembourg,2017,100
Annual,Last internet use: in last 3 months,Percentage of individuals,Luxembourg,2018,100
Annual,Last internet use: in last 3 months,Percentage of individuals,Luxembourg,2019,98.98
Annual,Last internet use: in last 3 months,Percentage of individuals,Luxembourg,2020,100
Annual,Last internet use: in last 3 months,Percentage of individuals,Luxembourg,2021,100
Annual,Last internet use: in last 3 months,Percentage of individuals,Luxembourg,2022,100
Annual,Last internet use: in last 3 months,Percentage of individuals,Hungary,2002,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Hungary,2003,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Hungary,2004,66.51
Annual,Last internet use: in last 3 months,Percentage of individuals,Hungary,2005,61.31
Annual,Last internet use: in last 3 months,Percentage of individuals,Hungary,2006,79.4
Annual,Last internet use: in last 3 months,Percentage of individuals,Hungary,2007,83.36
Annual,Last internet use: in last 3 months,Percentage of individuals,Hungary,2008,89.19
Annual,Last internet use: in last 3 months,Percentage of individuals,Hungary,2009,89.79
Annual,Last internet use: in last 3 months,Percentage of individuals,Hungary,2010,90.04
Annual,Last internet use: in last 3 months,Percentage of individuals,Hungary,2011,93.58
Annual,Last internet use: in last 3 months,Percentage of individuals,Hungary,2012,93.33
Annual,Last internet use: in last 3 months,Percentage of individuals,Hungary,2013,95.38
Annual,Last internet use: in last 3 months,Percentage of individuals,Hungary,2014,97.46
Annual,Last internet use: in last 3 months,Percentage of individuals,Hungary,2015,95.11
Annual,Last internet use: in last 3 months,Percentage of individuals,Hungary,2016,97.29
Annual,Last internet use: in last 3 months,Percentage of individuals,Hungary,2017,97.04
Annual,Last internet use: in last 3 months,Percentage of individuals,Hungary,2018,95.13
Annual,Last internet use: in last 3 months,Percentage of individuals,Hungary,2019,98.33
Annual,Last internet use: in last 3 months,Percentage of individuals,Hungary,2020,98.17
Annual,Last internet use: in last 3 months,Percentage of individuals,Hungary,2021,98.52
Annual,Last internet use: in last 3 months,Percentage of individuals,Hungary,2022,98.55
Annual,Last internet use: in last 3 months,Percentage of individuals,Malta,2002,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Malta,2003,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Malta,2004,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Malta,2005,69.54
Annual,Last internet use: in last 3 months,Percentage of individuals,Malta,2006,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Malta,2007,80.55
Annual,Last internet use: in last 3 months,Percentage of individuals,Malta,2008,89.25
Annual,Last internet use: in last 3 months,Percentage of individuals,Malta,2009,93.63
Annual,Last internet use: in last 3 months,Percentage of individuals,Malta,2010,98.78
Annual,Last internet use: in last 3 months,Percentage of individuals,Malta,2011,94.51
Annual,Last internet use: in last 3 months,Percentage of individuals,Malta,2012,98.26
Annual,Last internet use: in last 3 months,Percentage of individuals,Malta,2013,96.49
Annual,Last internet use: in last 3 months,Percentage of individuals,Malta,2014,99.42
Annual,Last internet use: in last 3 months,Percentage of individuals,Malta,2015,97.87
Annual,Last internet use: in last 3 months,Percentage of individuals,Malta,2016,98.11
Annual,Last internet use: in last 3 months,Percentage of individuals,Malta,2017,100
Annual,Last internet use: in last 3 months,Percentage of individuals,Malta,2018,100
Annual,Last internet use: in last 3 months,Percentage of individuals,Malta,2019,99.44
Annual,Last internet use: in last 3 months,Percentage of individuals,Malta,2020,100
Annual,Last internet use: in last 3 months,Percentage of individuals,Malta,2021,99.4
Annual,Last internet use: in last 3 months,Percentage of individuals,Malta,2022,100
Annual,Last internet use: in last 3 months,Percentage of individuals,Netherlands,2002,82.37
Annual,Last internet use: in last 3 months,Percentage of individuals,Netherlands,2003,87.48
Annual,Last internet use: in last 3 months,Percentage of individuals,Netherlands,2004,90.62
Annual,Last internet use: in last 3 months,Percentage of individuals,Netherlands,2005,96.93
Annual,Last internet use: in last 3 months,Percentage of individuals,Netherlands,2006,98.96
Annual,Last internet use: in last 3 months,Percentage of individuals,Netherlands,2007,98.71
Annual,Last internet use: in last 3 months,Percentage of individuals,Netherlands,2008,98.87
Annual,Last internet use: in last 3 months,Percentage of individuals,Netherlands,2009,99.14
Annual,Last internet use: in last 3 months,Percentage of individuals,Netherlands,2010,99.07
Annual,Last internet use: in last 3 months,Percentage of individuals,Netherlands,2011,99.56
Annual,Last internet use: in last 3 months,Percentage of individuals,Netherlands,2012,99.8
Annual,Last internet use: in last 3 months,Percentage of individuals,Netherlands,2013,100
Annual,Last internet use: in last 3 months,Percentage of individuals,Netherlands,2014,99.62
Annual,Last internet use: in last 3 months,Percentage of individuals,Netherlands,2015,96.79
Annual,Last internet use: in last 3 months,Percentage of individuals,Netherlands,2016,96.47
Annual,Last internet use: in last 3 months,Percentage of individuals,Netherlands,2017,99.04
Annual,Last internet use: in last 3 months,Percentage of individuals,Netherlands,2018,97.39
Annual,Last internet use: in last 3 months,Percentage of individuals,Netherlands,2019,98.61
Annual,Last internet use: in last 3 months,Percentage of individuals,Netherlands,2020,96.22
Annual,Last internet use: in last 3 months,Percentage of individuals,Netherlands,2021,95.31
Annual,Last internet use: in last 3 months,Percentage of individuals,Netherlands,2022,93.98
Annual,Last internet use: in last 3 months,Percentage of individuals,Austria,2002,61.96
Annual,Last internet use: in last 3 months,Percentage of individuals,Austria,2003,66.48
Annual,Last internet use: in last 3 months,Percentage of individuals,Austria,2004,78
Annual,Last internet use: in last 3 months,Percentage of individuals,Austria,2005,83.81
Annual,Last internet use: in last 3 months,Percentage of individuals,Austria,2006,87.12
Annual,Last internet use: in last 3 months,Percentage of individuals,Austria,2007,86.84
Annual,Last internet use: in last 3 months,Percentage of individuals,Austria,2008,91.85
Annual,Last internet use: in last 3 months,Percentage of individuals,Austria,2009,96.86
Annual,Last internet use: in last 3 months,Percentage of individuals,Austria,2010,95.25
Annual,Last internet use: in last 3 months,Percentage of individuals,Austria,2011,98.14
Annual,Last internet use: in last 3 months,Percentage of individuals,Austria,2012,99.15
Annual,Last internet use: in last 3 months,Percentage of individuals,Austria,2013,99.22
Annual,Last internet use: in last 3 months,Percentage of individuals,Austria,2014,97.88
Annual,Last internet use: in last 3 months,Percentage of individuals,Austria,2015,99.33
Annual,Last internet use: in last 3 months,Percentage of individuals,Austria,2016,98.68
Annual,Last internet use: in last 3 months,Percentage of individuals,Austria,2017,99.72
Annual,Last internet use: in last 3 months,Percentage of individuals,Austria,2018,99.12
Annual,Last internet use: in last 3 months,Percentage of individuals,Austria,2019,99.21
Annual,Last internet use: in last 3 months,Percentage of individuals,Austria,2020,99.57
Annual,Last internet use: in last 3 months,Percentage of individuals,Austria,2021,100
Annual,Last internet use: in last 3 months,Percentage of individuals,Austria,2022,100
Annual,Last internet use: in last 3 months,Percentage of individuals,Poland,2002,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Poland,2003,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Poland,2004,66.08
Annual,Last internet use: in last 3 months,Percentage of individuals,Poland,2005,74.32
Annual,Last internet use: in last 3 months,Percentage of individuals,Poland,2006,80.57
Annual,Last internet use: in last 3 months,Percentage of individuals,Poland,2007,84.92
Annual,Last internet use: in last 3 months,Percentage of individuals,Poland,2008,88.7
Annual,Last internet use: in last 3 months,Percentage of individuals,Poland,2009,93.1
Annual,Last internet use: in last 3 months,Percentage of individuals,Poland,2010,95.35
Annual,Last internet use: in last 3 months,Percentage of individuals,Poland,2011,96.75
Annual,Last internet use: in last 3 months,Percentage of individuals,Poland,2012,96.07
Annual,Last internet use: in last 3 months,Percentage of individuals,Poland,2013,96.69
Annual,Last internet use: in last 3 months,Percentage of individuals,Poland,2014,97.16
Annual,Last internet use: in last 3 months,Percentage of individuals,Poland,2015,97.86
Annual,Last internet use: in last 3 months,Percentage of individuals,Poland,2016,97.98
Annual,Last internet use: in last 3 months,Percentage of individuals,Poland,2017,99.25
Annual,Last internet use: in last 3 months,Percentage of individuals,Poland,2018,99.06
Annual,Last internet use: in last 3 months,Percentage of individuals,Poland,2019,99.56
Annual,Last internet use: in last 3 months,Percentage of individuals,Poland,2020,99.24
Annual,Last internet use: in last 3 months,Percentage of individuals,Poland,2021,98.39
Annual,Last internet use: in last 3 months,Percentage of individuals,Poland,2022,99.26
Annual,Last internet use: in last 3 months,Percentage of individuals,Portugal,2002,42.81
Annual,Last internet use: in last 3 months,Percentage of individuals,Portugal,2003,55.97
Annual,Last internet use: in last 3 months,Percentage of individuals,Portugal,2004,63.67
Annual,Last internet use: in last 3 months,Percentage of individuals,Portugal,2005,70.04
Annual,Last internet use: in last 3 months,Percentage of individuals,Portugal,2006,75.22
Annual,Last internet use: in last 3 months,Percentage of individuals,Portugal,2007,84.81
Annual,Last internet use: in last 3 months,Percentage of individuals,Portugal,2008,87.36
Annual,Last internet use: in last 3 months,Percentage of individuals,Portugal,2009,88.1
Annual,Last internet use: in last 3 months,Percentage of individuals,Portugal,2010,89.34
Annual,Last internet use: in last 3 months,Percentage of individuals,Portugal,2011,92.69
Annual,Last internet use: in last 3 months,Percentage of individuals,Portugal,2012,96.77
Annual,Last internet use: in last 3 months,Percentage of individuals,Portugal,2013,97.96
Annual,Last internet use: in last 3 months,Percentage of individuals,Portugal,2014,98.39
Annual,Last internet use: in last 3 months,Percentage of individuals,Portugal,2015,99.26
Annual,Last internet use: in last 3 months,Percentage of individuals,Portugal,2016,99.15
Annual,Last internet use: in last 3 months,Percentage of individuals,Portugal,2017,98.95
Annual,Last internet use: in last 3 months,Percentage of individuals,Portugal,2018,99.42
Annual,Last internet use: in last 3 months,Percentage of individuals,Portugal,2019,99.47
Annual,Last internet use: in last 3 months,Percentage of individuals,Portugal,2020,99.47
Annual,Last internet use: in last 3 months,Percentage of individuals,Portugal,2021,99.69
Annual,Last internet use: in last 3 months,Percentage of individuals,Portugal,2022,100
Annual,Last internet use: in last 3 months,Percentage of individuals,Romania,2002,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Romania,2003,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Romania,2004,28.62
Annual,Last internet use: in last 3 months,Percentage of individuals,Romania,2005,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Romania,2006,47.54
Annual,Last internet use: in last 3 months,Percentage of individuals,Romania,2007,53.68
Annual,Last internet use: in last 3 months,Percentage of individuals,Romania,2008,59.12
Annual,Last internet use: in last 3 months,Percentage of individuals,Romania,2009,65.01
Annual,Last internet use: in last 3 months,Percentage of individuals,Romania,2010,64.59
Annual,Last internet use: in last 3 months,Percentage of individuals,Romania,2011,71.66
Annual,Last internet use: in last 3 months,Percentage of individuals,Romania,2012,76.66
Annual,Last internet use: in last 3 months,Percentage of individuals,Romania,2013,79.68
Annual,Last internet use: in last 3 months,Percentage of individuals,Romania,2014,82.65
Annual,Last internet use: in last 3 months,Percentage of individuals,Romania,2015,86.32
Annual,Last internet use: in last 3 months,Percentage of individuals,Romania,2016,86.87
Annual,Last internet use: in last 3 months,Percentage of individuals,Romania,2017,91.99
Annual,Last internet use: in last 3 months,Percentage of individuals,Romania,2018,94.26
Annual,Last internet use: in last 3 months,Percentage of individuals,Romania,2019,95.06
Annual,Last internet use: in last 3 months,Percentage of individuals,Romania,2020,94.93
Annual,Last internet use: in last 3 months,Percentage of individuals,Romania,2021,97.28
Annual,Last internet use: in last 3 months,Percentage of individuals,Romania,2022,96.34
Annual,Last internet use: in last 3 months,Percentage of individuals,Slovenia,2002,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Slovenia,2003,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Slovenia,2004,71.22
Annual,Last internet use: in last 3 months,Percentage of individuals,Slovenia,2005,84.47
Annual,Last internet use: in last 3 months,Percentage of individuals,Slovenia,2006,86.14
Annual,Last internet use: in last 3 months,Percentage of individuals,Slovenia,2007,89.13
Annual,Last internet use: in last 3 months,Percentage of individuals,Slovenia,2008,93.64
Annual,Last internet use: in last 3 months,Percentage of individuals,Slovenia,2009,98.05
Annual,Last internet use: in last 3 months,Percentage of individuals,Slovenia,2010,97.47
Annual,Last internet use: in last 3 months,Percentage of individuals,Slovenia,2011,98.63
Annual,Last internet use: in last 3 months,Percentage of individuals,Slovenia,2012,97.01
Annual,Last internet use: in last 3 months,Percentage of individuals,Slovenia,2013,98.03
Annual,Last internet use: in last 3 months,Percentage of individuals,Slovenia,2014,97.17
Annual,Last internet use: in last 3 months,Percentage of individuals,Slovenia,2015,99.4
Annual,Last internet use: in last 3 months,Percentage of individuals,Slovenia,2016,97.45
Annual,Last internet use: in last 3 months,Percentage of individuals,Slovenia,2017,97.77
Annual,Last internet use: in last 3 months,Percentage of individuals,Slovenia,2018,99.2
Annual,Last internet use: in last 3 months,Percentage of individuals,Slovenia,2019,99.24
Annual,Last internet use: in last 3 months,Percentage of individuals,Slovenia,2020,99.11
Annual,Last internet use: in last 3 months,Percentage of individuals,Slovenia,2021,97.68
Annual,Last internet use: in last 3 months,Percentage of individuals,Slovenia,2022,98.72
Annual,Last internet use: in last 3 months,Percentage of individuals,Slovakia,2002,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Slovakia,2003,n/a
Annual,Last internet use: in last 3 months,Percentage of individuals,Slovakia,2004,72.64
Annual,Last internet use: in last 3 months,Percentage of individuals,Slovakia,2005,81.93
Annual,Last internet use: in last 3 months,Percentage of individuals,Slovakia,2006,84.95
Annual,Last internet use: in last 3 months,Percentage of individuals,Slovakia,2007,86.74
Annual,Last internet use: in last 3 months,Percentage of individuals,Slovakia,2008,93.97
Annual,Last internet use: in last 3 months,Percentage of individuals,Slovakia,2009,94.73
Annual,Last internet use: in last 3 months,Percentage of individuals,Slovakia,2010,97.51
Annual,Last internet use: in last 3 months,Percentage of individuals,Slovakia,2011,97.9
Annual,Last internet use: in last 3 months,Percentage of individuals,Slovakia,2012,98.83
Annual,Last internet use: in last 3 months,Percentage of individuals,Slovakia,2013,99.62
Annual,Last internet use: in last 3 months,Percentage of individuals,Slovakia,2014,97.95
Annual,Last internet use: in last 3 months,Percentage of individuals,Slovakia,2015,98.75
Annual,Last internet use: in last 3 months,Percentage of individuals,Slovakia,2016,97.01
Annual,Last internet use: in last 3 months,Percentage of individuals,Slovakia,2017,96.33
Annual,Last internet use: in last 3 months,Percentage of individuals,Slovakia,2018,98.2
Annual,Last internet use: in last 3 months,Percentage of individuals,Slovakia,2019,99.34
Annual,Last internet use: in last 3 months,Percentage of individuals,Slovakia,2020,99.77
Annual,Last internet use: in last 3 months,Percentage of individuals,Slovakia,2021,96.79
Annual,Last internet use: in last 3 months,Percentage of individuals,Slovakia,2022,97.19
Annual,Last internet use: in last 3 months,Percentage of individuals,Finland,2002,91.18
Annual,Last internet use: in last 3 months,Percentage of individuals,Finland,2003,94.73
Annual,Last internet use: in last 3 months,Percentage of individuals,Finland,2004,95.98
Annual,Last internet use: in last 3 months,Percentage of individuals,Finland,2005,96.49
